Ledger_Code,Revenue,Profit
1020201002,3279809.0,490951.07407454285
1020201003,2550.0,536.8341246070743
1020201004,149802.14,-3366.294007331118
1020201006,168659.0,41440.073777841724
1020201007,24323.0,9212.95824779706
1020201008,8480.0,-2622.101670172706
1020201011,28335.0,3147.3156752435934
1020201015,633722.3,81849.92901483906
1020201016,90359.75,15002.535326099587
1020201020,50850.0,16124.29371819174
1020201022,152100.0,96373.7407732958
1020201029,58274.5,9589.080972604308
1020201039,44368.05,22680.67454494362
1020201045,4587450.61,187476.3428800016
1020201049,2622322.5,710867.6515460606
1020201052,834413.51,-87155.94497089887
1020201053,10752.4,-2210.400281026288
1020201056,79350.0,7147.157952477575
1020201057,234423.75,-8832.892162520871
1020201058,219614.52000000002,3197.947540184652
1020201059,327360.36,36271.38201764788
1020201060,184980.43,29933.839472932355
1020201062,2212.81,579.7117791092194
1020201063,3500.0,3129.2613321444437
1020201064,88216.63,10565.725973227805
1020201066,0.0,0.0
1020201068,20228.44,165.32637621061323
1020201069,4524.0,3403.219177101312
1020201070,3700.0,2184.0508473118252
1020201071,0.0,0.0
1020201073,226545.38,-4963.286636172321
1020201074,67250.0,-16473.27248378429
1020201075,2701784.0,51717.91833605172
1020201076,24435.0,996.0094246387998
1020201079,0.0,0.0
1020201080,35225.0,1337.6290251013845
1020201081,7665.0,264.38456475778224
1020201082,1760.0,581.7502013212504
1020201084,4154.0,1901.6608071061241
1020201085,18593.6,522.4848533937438
1020201087,0.0,-40.0
1020201088,1510.1,639.607176091077
1020201089,6071.0,828.7895082335681
1020201090,4200.0,-1294.3813297246097
1020201091,6020.0,553.1210927019239
1020201093,41714.0,2821.0740498327445
1020201094,6372.5,361.9273262549518
1020201096,71085.0,3410.3931439263397
1020201098,5422.5,2378.376274358553
1020201099,1000.0,601.5607933203721
1020201100,22185.75,207.49618628166263
1020201101,30000.0,18635.93698309599
1020201102,39748.35,3349.2543714604126
1020201103,219614.52000000002,3197.947540184652
1020201104,101151.63,45067.80781422042
1020201105,327360.36,36271.38201764788
1020201106,184980.43,29933.839472932355
1020201107,2212.81,579.7117791092194
1020201108,3500.0,3129.2613321444437
1020201111,0.0,-50.0
1020201112,160874.63,29020.240946790098
1020201113,4900.0,1073.051877199653
1020201114,13350.0,2593.1122999744857
1020201115,1200.0,364.0141601857779
1020201116,8979.0,692.1917970154459
1020201117,177518.0,-1565.2532600898412
1020201118,450.0,442.38231525302933
1020201120,469207.32,7992.85588028289
1020201121,83792.3,7412.1385087003255
1020201122,20350.0,1976.1838164350002
1020201123,6595.0,1537.5847512785576
1020201124,9377.0,882.9742894060983
1020201125,99383.7,19410.716228682013
